1,A,積雪深差,"
ある時刻の積雪深 H_1 と その 1 時間前の積雪深 H_2 が与えられます。この時、この 1 時間の積雪深差 H_1 - H_2 の値を計算して出力してください。

"
1,B,視程の通報,"
気象情報は、世界中に様々な形で流れています。そのひとつの地上実況気象通報式 (SYNOP) では、視程 (肉眼で物体がはっきりと確認できる最大の距離) を、次の規則に従って、VVという値 (通報式) に変換して報じます。

0.1{\rm km} 未満： VVの値は 00 とする。
0.1{\rm km} 以上 5{\rm km} 以下：距離 ({\rm km}) を 10 倍した値とする。1 桁の場合は上位に 0 を付す。

例えば、2,000{\rm m} =2.0{\rm km} ならば、VVは 20 である。同じく、200{\rm m}の場合VVは 02 である。

6{\rm km} 以上 30{\rm km} 以下：距離 ({\rm km}) に 50 を足した値とする。

例えば、15,000{\rm m} =15{\rm km} ならば、VVは 65 である。

35{\rm km} 以上 70{\rm km} 以下：距離 ({\rm km}) から 30 を引いて 5 で割った後、80 を足した値とする。

例えば、40,000{\rm m} =40{\rm km} ならば、VVは 82 である。

70{\rm km} より大きい：VVの値は 89 とする。

いま、あなたに視程の距離をメートルで与えるので、上記のルールに従って計算されるVVを出力するプログラムを作成してください。

なお、VVは必ず（上位の 0 を含めて）2桁の整数であり、上記のルールに従って計算した時に整数にならないような入力や、上記の範囲に入らない入力 (例：5{\rm km} より大きく 6{\rm km} 未満) などはありません。
"
1,C,風力観測,"
ある風向風速計は、風向の角度と風程を 1 分毎に自動で記録してくれます。

風向の角度というのは真北を 0 度とし、そこから時計回りに風の吹いてくる方向を定めたものです。気象観測等では全体を等しく 16 分割した 16 方位が用いられます。16 方位と角度は、以下の表のように対応します。



 風向と角度の関係

　方位　　角度　
　方位　　角度　


　N (北)　　他のいずれにも当てはまらない　
　S (南)　　168.75 度以上 191.25 度未満　


　NNE (北北東)　　11.25 度以上 33.75 度未満　
　SSW (南南西)　　191.25 度以上 213.75 度未満　


　NE (北東)　　33.75 度以上 56.25 度未満　
　SW (南西)　　213.75 度以上 236.25 度未満　


　ENE (東北東)　　56.25 度以上 78.75 度未満　
　WSW (西南西)　　236.25 度以上 258.75 度未満　


　E (東)　　78.75 度以上 101.25 度未満　
　W (西)　　258.75 度以上 281.25 度未満　


　ESE (東南東)　　101.25 度以上 123.75 度未満　
　WNW (西北西)　　281.25 度以上 303.75 度未満　


　SE (南東)　　123.75 度以上 146.25 度未満　
　NW (北西)　　303.75 度以上 326.25 度未満　


　SSE (南南東)　　146.25 度以上 168.75 度未満　
　NNW (北北西)　　326.25 度以上 348.75 度未満　





風程というのは、風向風速計の風車が、ある一定の時間に風によって回った量を距離によって表したものです。
例えば、1 分間の風程が 300{\rm m} というのは、1 分間に吹いた風によって風車が 300{\rm m} 回ったという事です。この時、この 1 分間の平均風速は 300{\rm m} を 60 秒で割って、5{\rm m}/{\rm s} と求められます。

与えられたデータを、ラジオ等で流れる「気象通報」と同様の形式に直そうと思います。
気象通報では、16 方位での風向と、風力 (ビューフォート風力階級) が伝えられます。

風向は、先の表の 16 方位です。
ただし、風力 0 の場合、実際には「風弱く」と伝えられるため、風向は 16 方位ではなく、特別な向きであるCとします。

風力は、風速を計算し、小数第 2 位を四捨五入して、以下の対応により風力に変換します。
　


 風力と風速の関係 　(ビューフォート風力階級)

風力　　風速　　
風力　　風速　　
風力　　風速　　


風力0　　 0.0{\rm m}/{\rm s} 以上 0.2{\rm m}/{\rm s} 以下　　
風力5　　 8.0{\rm m}/{\rm s} 以上 10.7{\rm m}/{\rm s} 以下　　
風力10　　 24.5{\rm m}/{\rm s} 以上 28.4{\rm m}/{\rm s} 以下　　


風力1　　 0.3{\rm m}/{\rm s} 以上 1.5{\rm m}/{\rm s} 以下　　
風力6　　 10.8{\rm m}/{\rm s} 以上 13.8{\rm m}/{\rm s} 以下　　
風力11　　 28.5{\rm m}/{\rm s} 以上 32.6{\rm m}/{\rm s} 以下　　


風力2　　 1.6{\rm m}/{\rm s} 以上 3.3{\rm m}/{\rm s} 以下　　
風力7　　 13.9{\rm m}/{\rm s} 以上 17.1{\rm m}/{\rm s} 以下　　
風力12　　 32.7{\rm m}/{\rm s} 以上　　


風力3　　 3.4{\rm m}/{\rm s} 以上 5.4{\rm m}/{\rm s} 以下　　
風力8　　 17.2{\rm m}/{\rm s} 以上 20.7{\rm m}/{\rm s} 以下　　
　


風力4　　 5.5{\rm m}/{\rm s} 以上 7.9{\rm m}/{\rm s} 以下　　
風力9　　 20.8{\rm m}/{\rm s} 以上 24.4{\rm m}/{\rm s} 以下　　
　




風向 (角度) と 1 分間の風程が入力されるとき、それを気象通報の形式に直して出力するプログラムを作成してください。
"
1,D,感雨時刻の整理,"
雨の降っていた時刻というのは、降水量と並んで重要です。今、ある 1 日の、雨が降っていた時刻に関するメモが見つかったので、これを整理して、雨の降っていた時刻を調べたいと思います。

整理は、以下の規則に従って行います。


感雨時間のメモから、その日 1 日の雨の降っていた時刻を時系列順に出す。日付を超えて降っている雨は、 00:00 降り始めや 24:00 降り終わりとして扱われるものとし、日付をまたぐようなメモは入力されない。


雨の降り始め・降り終わりはそれぞれ直前・直後の 5 分単位の時刻に丸める。例えば、13:23 に降り始めて 14:01 にやんだ雨は、13:20 から 14:05 まで降っていたということにする。


丸めた後の結果において、2 つ以上のメモに書かれていた感雨時刻が重複した場合、1 つの連続した雨とみなす。例えば、11:06 に降り始めて 11:23 にやんだ雨、11:29 に降り始めて 12:03 にやんだ雨、11:48 に降り始めて 12:10 にやんだ雨の 3 つがあった場合、11:05～11:25、11:25～12:05、11:45～12:10 の 3 つの雨であるが、時間がかぶっているところをくっつけて 11:05 から 12:10 まで降っていた、1 つの連続した雨ということにする。



メモの内容が入力される時、雨の降っていた時刻を、この規則に合致するよう整理して出力するプログラムを作成してください。
"
2,A,正直者,"
いま、神の恵みで高橋くんにお金が与えられます。
神は高橋くんに 2 つの金額を提示します。
正直者の高橋くんは、常に大きな金額を選択します。
そこで、与えられた 2 つの整数のうち、大きい方の値を出力するプログラムを書いてください。
A問題では、提出した結果、全てのテストに対する判定がWAまたはREになってしまった場合のみ、質問タブにて可能な限りのトラブルシューティングを受け付けます。
提出結果のURLを添えて、お気軽にご質問ください。
よくある質問も、併せてご活用ください。
"
2,B,罠,"

B問題のリジャッジ（再採点）が終了しました。21: 50
B問題のテストケースにミスがあったので、提出されたコードをリジャッジ（再採点）してます。21: 40



神の恵みで財産を築いた高橋くんですが、なんとそこには罠がありました。
神は、高橋くんの発した言葉から母音 a、i、u、e、o を全て盗んでいったのです。
高橋くんが発した言葉を表す文字列 W が与えられるので、周囲の人が聞く言葉を表す文字列を出力するプログラムを書いてください。
"
2,C,直訴,"
神に盗まれた母音を取り戻すため、高橋くんは神へ直訴しました。
「神様、どうかお願いです。僕の母音を返してください。」
神はこう言いました。
「そんなに母音がほしいのか。ならば私の仕事を手伝ってもらおう。」

現在、神は天界のいたるところで測量を行っており、高橋くんは神の測量を手伝わなければなりません。
今回は三角形の測量です。高橋くんには 2 次元平面上の 3 つの点 A,\ B,\ C が与えられます。
少しでも早く母音を取り戻すために、三角形 ABC の面積を出力するプログラムを書いてください。
"
2,D,派閥,"
神からの財産と、母音を取り戻した高橋くんは、AtCoder国の腐敗した政治を正すため、国会議員となろうと決めました。
もともと人心掌握術とスピーチに定評があった高橋くんは、何の苦労をすることもなく当選しました。
しかし、議員になってからが本番です。国を正すためには、首相に任命される必要があります。

AtCoder国には高橋くんを除いて N 人の国会議員と、M 個の人間関係 (x,\ y) が存在します。
人間関係 (x,\ y) とは、議員 x と議員 y が知り合いであることを意味します。
高橋くんは N 人の議員から何人かを選んで派閥を作ろうと企んでいます。
派閥に含まれるすべての議員は互いに知り合いでなければなりません。
高橋くんが作成することができる最大の派閥に属する議員数を求めるプログラムを書いてください。
"
3,A,AtCoder社の給料,"
		AtCoder社の社員である青木さんの給料は以下のように決められます。
		ある月に、青木さんがタスクをこなした数を x とします。
		この月の給料は、1 から x までの整数が 1 面ずつに書かれた x 面ダイスを振って出た目 {}\times{} 1 万円がもらえます。
		ただし、このダイスは、どの面が出る確率も等しく 1/x です。
		青木くんは、暮らしていくのに十分な給料が得られるかどうかが心配で、平均いくら程度給料がもらえるか調べたいです。
		毎月、青木くんはちょうど N 個のタスクをこなすこととし、毎月の給料の平均値を求めるプログラムを書いてください。
"
3,B,AtCoderトランプ,"
		AtCoder社では 1 人で行うトランプを使ったゲームが流行っています。
		AtCoder社特製トランプでは、各カードにアルファベット小文字 1 文字（a～z）、または@の文字が書かれています。

		ゲームは以下の手順で行います。

カードを同じ枚数ずつ 2 列に並べて文字列を 2 つ作ります。
@のカードは、それぞれa,t,c,o,d,e,rのどれかのカードと置き換えます。
2 つの列が指し示す文字列が同じであれば勝ち、同じでなければ負けです。

		手順 1. で並べられた 2 つの列が指し示す2つの文字列与えられるので、適切に@を置き換えて、このゲームで勝つことができるかどうかを判定するプログラムを書いてください。
"
